Date,USD_YTL
15-07-2015,2.636
16-07-2015,2.638
17-07-2015,2.638
18-07-2015,2.638
19-07-2015,2.638
20-07-2015,2.638
21-07-2015,2.676
22-07-2015,2.687
23-07-2015,2.704
24-07-2015,2.719
25-07-2015,2.719
26-07-2015,2.719
27-07-2015,2.737
28-07-2015,2.757
29-07-2015,2.755
30-07-2015,2.763
31-07-2015,2.775
01-08-2015,2.775
02-08-2015,2.775
03-08-2015,2.784
04-08-2015,2.774
05-08-2015,2.769
06-08-2015,2.785
07-08-2015,2.783
08-08-2015,2.783
09-08-2015,2.783
10-08-2015,2.779
11-08-2015,2.786
12-08-2015,2.767
13-08-2015,2.778
14-08-2015,2.783
15-08-2015,2.783
16-08-2015,2.783
17-08-2015,2.832
18-08-2015,2.848
19-08-2015,2.873
20-08-2015,2.901
21-08-2015,2.968
22-08-2015,2.968
23-08-2015,2.968
24-08-2015,2.916
25-08-2015,2.948
26-08-2015,2.926
27-08-2015,2.935
28-08-2015,2.910
29-08-2015,2.910
30-08-2015,2.910
31-08-2015,2.915
01-09-2015,2.918
02-09-2015,2.915
03-09-2015,2.940
04-09-2015,2.956
05-09-2015,2.956
06-09-2015,2.956
07-09-2015,2.977
08-09-2015,3.029
09-09-2015,3.015
10-09-2015,3.004
11-09-2015,3.040
12-09-2015,3.040
13-09-2015,3.040
14-09-2015,3.034
15-09-2015,3.060
16-09-2015,3.044
17-09-2015,3.012
18-09-2015,3.014
19-09-2015,3.014
20-09-2015,3.014
21-09-2015,2.996
22-09-2015,2.998
23-09-2015,3.007
24-09-2015,3.007
25-09-2015,3.007
26-09-2015,3.007
27-09-2015,3.007
28-09-2015,3.007
29-09-2015,3.046
30-09-2015,3.043
01-10-2015,3.025
02-10-2015,3.017
03-10-2015,3.017
04-10-2015,3.017
05-10-2015,3.024
06-10-2015,2.992
07-10-2015,2.988
08-10-2015,2.938
09-10-2015,2.936
10-10-2015,2.936
11-10-2015,2.936
12-10-2015,2.896
13-10-2015,2.923
14-10-2015,2.942
15-10-2015,2.942
16-10-2015,2.884
17-10-2015,2.884
18-10-2015,2.884
19-10-2015,2.893
20-10-2015,2.888
21-10-2015,2.895
22-10-2015,2.903
23-10-2015,2.889
24-10-2015,2.889
25-10-2015,2.889
26-10-2015,2.867
27-10-2015,2.891
28-10-2015,2.894
29-10-2015,2.894
30-10-2015,2.894
31-10-2015,2.894
01-11-2015,2.894
02-11-2015,2.915
03-11-2015,2.804
04-11-2015,2.829
05-11-2015,2.836
06-11-2015,2.868
07-11-2015,2.868
08-11-2015,2.868
09-11-2015,2.872
10-11-2015,2.919
11-11-2015,2.910
12-11-2015,2.891
13-11-2015,2.877
14-11-2015,2.877
15-11-2015,2.877
16-11-2015,2.869
17-11-2015,2.878
18-11-2015,2.872
19-11-2015,2.865
20-11-2015,2.849
21-11-2015,2.849
22-11-2015,2.849
23-11-2015,2.830
24-11-2015,2.843
25-11-2015,2.869
26-11-2015,2.881
27-11-2015,2.901
28-11-2015,2.901
29-11-2015,2.901
30-11-2015,2.920
01-12-2015,2.911
02-12-2015,2.892
03-12-2015,2.877
04-12-2015,2.881
05-12-2015,2.881
06-12-2015,2.881
07-12-2015,2.892
08-12-2015,2.890
09-12-2015,2.912
10-12-2015,2.911
11-12-2015,2.910
12-12-2015,2.910
13-12-2015,2.910
14-12-2015,2.946
15-12-2015,2.967
16-12-2015,2.970
