Date,Hour,Wind
15-07-15,0:00,395.4
15-07-15,1:00,393.11
15-07-15,2:00,380.76
15-07-15,3:00,370.1
15-07-15,4:00,351
15-07-15,5:00,326.9
15-07-15,6:00,314.28
15-07-15,7:00,290.68
15-07-15,8:00,279.63
15-07-15,9:00,280.93
15-07-15,10:00,286.63
15-07-15,11:00,299.89
15-07-15,12:00,331.91
15-07-15,13:00,361.32
15-07-15,14:00,398.22
15-07-15,15:00,432.91
15-07-15,16:00,461.48
15-07-15,17:00,495.96
15-07-15,18:00,518.84
15-07-15,19:00,528.42
15-07-15,20:00,518.89
15-07-15,21:00,497.05
15-07-15,22:00,481.13
15-07-15,23:00,454.39
16-07-15,0:00,490.98
16-07-15,1:00,471.38
16-07-15,2:00,455.36
16-07-15,3:00,440.19
16-07-15,4:00,416.89
16-07-15,5:00,394.96
16-07-15,6:00,375.07
16-07-15,7:00,358.68
16-07-15,8:00,356.4
16-07-15,9:00,374.91
16-07-15,10:00,401.08
16-07-15,11:00,444.6
16-07-15,12:00,490.11
16-07-15,13:00,529.36
16-07-15,14:00,572.11
16-07-15,15:00,599.95
16-07-15,16:00,624.66
16-07-15,17:00,649.02
16-07-15,18:00,654.6
16-07-15,19:00,676.82
16-07-15,20:00,672.51
16-07-15,21:00,672.58
16-07-15,22:00,655.48
16-07-15,23:00,631.83
17-07-15,0:00,540.51
17-07-15,1:00,480.09
17-07-15,2:00,434.84
17-07-15,3:00,394.03
17-07-15,4:00,387.56
17-07-15,5:00,377.25
17-07-15,6:00,369.49
17-07-15,7:00,362.82
17-07-15,8:00,447.53
17-07-15,9:00,453.78
17-07-15,10:00,472.11
17-07-15,11:00,495.84
17-07-15,12:00,526.38
17-07-15,13:00,554.65
17-07-15,14:00,572.85
17-07-15,15:00,592.51
17-07-15,16:00,604.52
17-07-15,17:00,605.87
17-07-15,18:00,552.28
17-07-15,19:00,621.2
17-07-15,20:00,618.49
17-07-15,21:00,607.88
17-07-15,22:00,591.42
17-07-15,23:00,569.95
18-07-15,0:00,460.6
18-07-15,1:00,409.93
18-07-15,2:00,385.87
18-07-15,3:00,361.02
18-07-15,4:00,337.58
18-07-15,5:00,314.24
18-07-15,6:00,303.82
18-07-15,7:00,298.07
18-07-15,8:00,373.36
18-07-15,9:00,383.85
18-07-15,10:00,401.28
18-07-15,11:00,427.67
18-07-15,12:00,459.45
18-07-15,13:00,499.1
18-07-15,14:00,543.06
18-07-15,15:00,562.83
18-07-15,16:00,576.24
18-07-15,17:00,586.79
18-07-15,18:00,580.29
18-07-15,19:00,585.28
18-07-15,20:00,578.54
18-07-15,21:00,564.29
18-07-15,22:00,547.58
18-07-15,23:00,522.84
19-07-15,0:00,399.95
19-07-15,1:00,391.1
