Date,Hour,MCP (TL/MWh)
15-07-15,0:00,151.98
15-07-15,1:00,154.16
15-07-15,2:00,134.99
15-07-15,3:00,128
15-07-15,4:00,124.99
15-07-15,5:00,67.91
15-07-15,6:00,70
15-07-15,7:00,123.86
15-07-15,8:00,138.77
15-07-15,9:00,155.77
15-07-15,10:00,162.05
15-07-15,11:00,170
15-07-15,12:00,155.77
15-07-15,13:00,162.06
15-07-15,14:00,170
15-07-15,15:00,165.01
15-07-15,16:00,161.62
15-07-15,17:00,134.99
15-07-15,18:00,143.68
15-07-15,19:00,143.67
15-07-15,20:00,134.98
15-07-15,21:00,134.98
15-07-15,22:00,134.99
15-07-15,23:00,134.98
16-07-15,0:00,134.99
16-07-15,1:00,129.98
16-07-15,2:00,127.99
16-07-15,3:00,104.74
16-07-15,4:00,98.85
16-07-15,5:00,0
16-07-15,6:00,0
16-07-15,7:00,61.46
16-07-15,8:00,121.02
16-07-15,9:00,129.97
16-07-15,10:00,134.99
16-07-15,11:00,144.95
16-07-15,12:00,130.16
16-07-15,13:00,129.92
16-07-15,14:00,129.91
16-07-15,15:00,126.2
16-07-15,16:00,122.92
16-07-15,17:00,110
16-07-15,18:00,106
16-07-15,19:00,111.19
16-07-15,20:00,109.99
16-07-15,21:00,119.74
16-07-15,22:00,119.74
16-07-15,23:00,112.96
17-07-15,0:00,98.68
17-07-15,1:00,19.68
17-07-15,2:00,0
17-07-15,3:00,0
17-07-15,4:00,0
17-07-15,5:00,0
17-07-15,6:00,0.21
17-07-15,7:00,0.36
17-07-15,8:00,36.5
17-07-15,9:00,42.59
17-07-15,10:00,44.55
17-07-15,11:00,44.19
17-07-15,12:00,40.68
17-07-15,13:00,39.01
17-07-15,14:00,38.15
17-07-15,15:00,36.23
17-07-15,16:00,35.97
17-07-15,17:00,19.68
17-07-15,18:00,19.67
17-07-15,19:00,29.71
17-07-15,20:00,47.69
17-07-15,21:00,54.78
17-07-15,22:00,56.51
17-07-15,23:00,50.37
18-07-15,0:00,0
18-07-15,1:00,0
18-07-15,2:00,0
18-07-15,3:00,0
18-07-15,4:00,0
18-07-15,5:00,0
18-07-15,6:00,0
18-07-15,7:00,0
18-07-15,8:00,25.72
18-07-15,9:00,66.92
18-07-15,10:00,89.67
18-07-15,11:00,100
18-07-15,12:00,100
18-07-15,13:00,104.75
18-07-15,14:00,99.99
18-07-15,15:00,96
18-07-15,16:00,82.89
18-07-15,17:00,66.4
18-07-15,18:00,65.3
18-07-15,19:00,73.78
18-07-15,20:00,91.48
18-07-15,21:00,99.99
18-07-15,22:00,97.86
18-07-15,23:00,88.47
19-07-15,0:00,10
19-07-15,1:00,0.66
19-07-15,2:00,0
19-07-15,3:00,0
19-07-15,4:00,0
19-07-15,5:00,0
19-07-15,6:00,0
19-07-15,7:00,0
19-07-15,8:00,32.78
19-07-15,9:00,74.87
19-07-15,10:00,95.63
19-07-15,11:00,99.99
19-07-15,12:00,100
19-07-15,13:00,99.99
19-07-15,14:00,100
19-07-15,15:00,99.99
19-07-15,16:00,97.47
19-07-15,17:00,78.29
19-07-15,18:00,80.2
19-07-15,19:00,85.75
19-07-15,20:00,100
19-07-15,21:00,119.99
19-07-15,22:00,106
19-07-15,23:00,103.99
20-07-15,0:00,123.84
20-07-15,1:00,125
20-07-15,2:00,99.07
20-07-15,3:00,19.68
20-07-15,4:00,10.01
20-07-15,5:00,0.61
20-07-15,6:00,10.09
20-07-15,7:00,130.9
20-07-15,8:00,162.62
20-07-15,9:00,170.96
20-07-15,10:00,179.04
20-07-15,11:00,180.01
20-07-15,12:00,179.04
20-07-15,13:00,189.04
20-07-15,14:00,189.03
20-07-15,15:00,180
20-07-15,16:00,180.01
20-07-15,17:00,168.9
20-07-15,18:00,155.77
20-07-15,19:00,155.78
20-07-15,20:00,168.89
